section,key,subkey,value
equipment,shoulder,sub_boss_damage,0
equipment,shoulder,sub_normal_damage,0
equipment,shoulder,sub_crit_rate,0
equipment,shoulder,sub_crit_damage,0
equipment,shoulder,sub_attack_flat,0
equipment,shoulder,sub_skill_1st,0
equipment,shoulder,sub_skill_2nd,0
equipment,shoulder,sub_skill_3rd,0
equipment,shoulder,sub_skill_4th,0
equipment,shoulder,special_stat_type,damage_pct
equipment,shoulder,special_stat_value,0
equipment,cape,name,Cape
equipment,cape,rarity,Normal
equipment,cape,tier,1
equipment,cape,stars,0
equipment,cape,is_special,False
equipment,cape,base_attack,0
equipment,cape,base_max_hp,0
equipment,cape,base_third_stat,0
equipment,cape,sub_boss_damage,0
equipment,cape,sub_normal_damage,0
equipment,cape,sub_crit_rate,0
equipment,cape,sub_crit_damage,0
equipment,cape,sub_attack_flat,0
equipment,cape,sub_skill_1st,0
equipment,cape,sub_skill_2nd,0
equipment,cape,sub_skill_3rd,0
equipment,cape,sub_skill_4th,0
equipment,cape,special_stat_type,damage_pct
equipment,cape,special_stat_value,0
equipment,ring,name,Ring
equipment,ring,rarity,Normal
equipment,ring,tier,1
equipment,ring,stars,0
equipment,ring,is_special,False
equipment,ring,base_attack,0
equipment,ring,base_max_hp,0
equipment,ring,base_third_stat,0
equipment,ring,sub_boss_damage,0
equipment,ring,sub_normal_damage,0
equipment,ring,sub_crit_rate,0
equipment,ring,sub_crit_damage,0
equipment,ring,sub_attack_flat,0
equipment,ring,sub_skill_1st,0
equipment,ring,sub_skill_2nd,0
equipment,ring,sub_skill_3rd,0
equipment,ring,sub_skill_4th,0
equipment,ring,special_stat_type,damage_pct
equipment,ring,special_stat_value,0
equipment,necklace,name,Necklace
equipment,necklace,rarity,Normal
equipment,necklace,tier,1
equipment,necklace,stars,0
equipment,necklace,is_special,False
equipment,necklace,base_attack,0
equipment,necklace,base_max_hp,0
equipment,necklace,base_third_stat,0
equipment,necklace,sub_boss_damage,0
equipment,necklace,sub_normal_damage,0
equipment,necklace,sub_crit_rate,0
equipment,necklace,sub_crit_damage,0
equipment,necklace,sub_attack_flat,0
equipment,necklace,sub_skill_1st,0
equipment,necklace,sub_skill_2nd,0
equipment,necklace,sub_skill_3rd,0
equipment,necklace,sub_skill_4th,0
equipment,necklace,special_stat_type,damage_pct
equipment,necklace,special_stat_value,0
equipment,face,name,Face
equipment,face,rarity,Normal
equipment,face,tier,1
equipment,face,stars,0
equipment,face,is_special,False
equipment,face,base_attack,0
equipment,face,base_max_hp,0
equipment,face,base_third_stat,0
equipment,face,sub_boss_damage,0
equipment,face,sub_normal_damage,0
equipment,face,sub_crit_rate,0
equipment,face,sub_crit_damage,0
equipment,face,sub_attack_flat,0
equipment,face,sub_skill_1st,0
equipment,face,sub_skill_2nd,0
equipment,face,sub_skill_3rd,0
equipment,face,sub_skill_4th,0
equipment,face,special_stat_type,damage_pct
equipment,face,special_stat_value,0
potential,hat,tier,Mystic
potential,hat,line1_stat,dex_pct
potential,hat,line1_value,15.0
potential,hat,line2_stat,attack_speed
potential,hat,line2_value,10.0
potential,hat,line3_stat,
potential,hat,line3_value,0
potential,hat,regular_pity,0
potential,hat,bonus_tier,Legendary
potential,hat,bonus_line1_stat,
potential,hat,bonus_line1_value,0
potential,hat,bonus_line2_stat,
potential,hat,bonus_line2_value,0
potential,hat,bonus_line3_stat,
potential,hat,bonus_line3_value,0
potential,hat,bonus_pity,0
potential,hat,line2_yellow,True
potential,hat,line3_yellow,True
potential,hat,bonus_line2_yellow,True
potential,hat,bonus_line3_yellow,True
potential,top,tier,Mystic
potential,top,line1_stat,ba_targets
potential,top,line1_value,3
potential,top,line2_stat,dex_pct
potential,top,line2_value,15.0
potential,top,line3_stat,int_pct
potential,top,line3_value,12.0
potential,top,line2_yellow,True
potential,top,line3_yellow,False
potential,top,regular_pity,0
potential,top,bonus_tier,Mystic
potential,top,bonus_line1_stat,dex_flat
potential,top,bonus_line1_value,1000
potential,top,bonus_line2_stat,str_flat
potential,top,bonus_line2_value,600
potential,top,bonus_line3_stat,ba_targets
potential,top,bonus_line3_value,2
potential,top,bonus_line2_yellow,False
potential,top,bonus_line3_yellow,False
potential,top,bonus_pity,0
potential,bottom,tier,Legendary
potential,bottom,line1_stat,
potential,bottom,line1_value,0
potential,bottom,line2_stat,
potential,bottom,line2_value,0
potential,bottom,line3_stat,
potential,bottom,line3_value,0
potential,bottom,line2_yellow,True
potential,bottom,line3_yellow,True
potential,bottom,regular_pity,0
potential,bottom,bonus_tier,Mystic
potential,bottom,bonus_line1_stat,
potential,bottom,bonus_line1_value,0
potential,bottom,bonus_line2_stat,
potential,bottom,bonus_line2_value,0
potential,bottom,bonus_line3_stat,
potential,bottom,bonus_line3_value,0
potential,bottom,bonus_line2_yellow,True
potential,bottom,bonus_line3_yellow,True
potential,bottom,bonus_pity,0
potential,gloves,tier,Legendary
potential,gloves,line1_stat,
potential,gloves,line1_value,0
potential,gloves,line2_stat,
potential,gloves,line2_value,0
potential,gloves,line3_stat,
potential,gloves,line3_value,0
potential,gloves,line2_yellow,True
potential,gloves,line3_yellow,True
potential,gloves,regular_pity,0
potential,gloves,bonus_tier,Legendary
potential,gloves,bonus_line1_stat,
potential,gloves,bonus_line1_value,0
potential,gloves,bonus_line2_stat,
potential,gloves,bonus_line2_value,0
potential,gloves,bonus_line3_stat,
potential,gloves,bonus_line3_value,0
potential,gloves,bonus_line2_yellow,True
potential,gloves,bonus_line3_yellow,True
potential,gloves,bonus_pity,0
potential,shoes,tier,Legendary
potential,shoes,line1_stat,
potential,shoes,line1_value,0
potential,shoes,line2_stat,
potential,shoes,line2_value,0
potential,shoes,line3_stat,
potential,shoes,line3_value,0
potential,shoes,line2_yellow,True
potential,shoes,line3_yellow,True
potential,shoes,regular_pity,0
potential,shoes,bonus_tier,Legendary
potential,shoes,bonus_line1_stat,
potential,shoes,bonus_line1_value,0
potential,shoes,bonus_line2_stat,
potential,shoes,bonus_line2_value,0
potential,shoes,bonus_line3_stat,
potential,shoes,bonus_line3_value,0
potential,shoes,bonus_line2_yellow,True
potential,shoes,bonus_line3_yellow,True
potential,shoes,bonus_pity,0
potential,belt,tier,Legendary
potential,belt,line1_stat,
potential,belt,line1_value,0
potential,belt,line2_stat,
potential,belt,line2_value,0
potential,belt,line3_stat,
potential,belt,line3_value,0
potential,belt,line2_yellow,True
potential,belt,line3_yellow,True
potential,belt,regular_pity,0
potential,belt,bonus_tier,Legendary
potential,belt,bonus_line1_stat,
potential,belt,bonus_line1_value,0
potential,belt,bonus_line2_stat,
potential,belt,bonus_line2_value,0
potential,belt,bonus_line3_stat,
potential,belt,bonus_line3_value,0
potential,belt,bonus_line2_yellow,True
potential,belt,bonus_line3_yellow,True
potential,belt,bonus_pity,0
potential,shoulder,tier,Legendary
potential,shoulder,line1_stat,
potential,shoulder,line1_value,0
potential,shoulder,line2_stat,
potential,shoulder,line2_value,0
potential,shoulder,line3_stat,
potential,shoulder,line3_value,0
potential,shoulder,line2_yellow,True
potential,shoulder,line3_yellow,True
potential,shoulder,regular_pity,0
potential,shoulder,bonus_tier,Legendary
potential,shoulder,bonus_line1_stat,
potential,shoulder,bonus_line1_value,0
potential,shoulder,bonus_line2_stat,
potential,shoulder,bonus_line2_value,0
potential,shoulder,bonus_line3_stat,
potential,shoulder,bonus_line3_value,0
potential,shoulder,bonus_line2_yellow,True
potential,shoulder,bonus_line3_yellow,True
potential,shoulder,bonus_pity,0
potential,cape,tier,Legendary
potential,cape,line1_stat,
potential,cape,line1_value,0
potential,cape,line2_stat,
potential,cape,line2_value,0
potential,cape,line3_stat,
potential,cape,line3_value,0
potential,cape,line2_yellow,True
potential,cape,line3_yellow,True
potential,cape,regular_pity,0
potential,cape,bonus_tier,Legendary
potential,cape,bonus_line1_stat,
potential,cape,bonus_line1_value,0
potential,cape,bonus_line2_stat,
potential,cape,bonus_line2_value,0
potential,cape,bonus_line3_stat,
potential,cape,bonus_line3_value,0
potential,cape,bonus_line2_yellow,True
potential,cape,bonus_line3_yellow,True
potential,cape,bonus_pity,0
potential,ring,tier,Legendary
potential,ring,line1_stat,
potential,ring,line1_value,0
potential,ring,line2_stat,
potential,ring,line2_value,0
potential,ring,line3_stat,
potential,ring,line3_value,0
potential,ring,line2_yellow,True
potential,ring,line3_yellow,True
potential,ring,regular_pity,0
potential,ring,bonus_tier,Legendary
potential,ring,bonus_line1_stat,
potential,ring,bonus_line1_value,0
potential,ring,bonus_line2_stat,
potential,ring,bonus_line2_value,0
potential,ring,bonus_line3_stat,
potential,ring,bonus_line3_value,0
potential,ring,bonus_line2_yellow,True
potential,ring,bonus_line3_yellow,True
potential,ring,bonus_pity,0
potential,necklace,tier,Legendary
potential,necklace,line1_stat,
potential,necklace,line1_value,0
potential,necklace,line2_stat,
potential,necklace,line2_value,0
potential,necklace,line3_stat,
potential,necklace,line3_value,0
potential,necklace,line2_yellow,True
potential,necklace,line3_yellow,True
potential,necklace,regular_pity,0
potential,necklace,bonus_tier,Legendary
potential,necklace,bonus_line1_stat,
potential,necklace,bonus_line1_value,0
potential,necklace,bonus_line2_stat,
potential,necklace,bonus_line2_value,0
potential,necklace,bonus_line3_stat,
potential,necklace,bonus_line3_value,0
potential,necklace,bonus_line2_yellow,True
potential,necklace,bonus_line3_yellow,True
potential,necklace,bonus_pity,0
potential,face,tier,Legendary
potential,face,line1_stat,
potential,face,line1_value,0
potential,face,line2_stat,
potential,face,line2_value,0
potential,face,line3_stat,
potential,face,line3_value,0
potential,face,line2_yellow,True
potential,face,line3_yellow,True
potential,face,regular_pity,0
potential,face,bonus_tier,Legendary
potential,face,bonus_line1_stat,
potential,face,bonus_line1_value,0
potential,face,bonus_line2_stat,
potential,face,bonus_line2_value,0
potential,face,bonus_line3_stat,
potential,face,bonus_line3_value,0
potential,face,bonus_line2_yellow,True
potential,face,bonus_line3_yellow,True
potential,face,bonus_pity,0
hero_power_line,line1,stat,
hero_power_line,line1,value,0
hero_power_line,line1,tier,Common
hero_power_line,line1,locked,False
hero_power_line,line2,stat,
hero_power_line,line2,value,0
hero_power_line,line2,tier,Common
hero_power_line,line2,locked,False
hero_power_line,line3,stat,
hero_power_line,line3,value,0
hero_power_line,line3,tier,Common
hero_power_line,line3,locked,False
hero_power_line,line4,stat,
hero_power_line,line4,value,0
hero_power_line,line4,tier,Common
hero_power_line,line4,locked,False
hero_power_line,line5,stat,
hero_power_line,line5,value,0
hero_power_line,line5,tier,Common
hero_power_line,line5,locked,False
hero_power_line,line6,stat,
hero_power_line,line6,value,0
hero_power_line,line6,tier,Common
hero_power_line,line6,locked,False
hero_power_passive,main_stat,,0
hero_power_passive,damage,,0
hero_power_passive,attack,,0
hero_power_passive,hp,,0
hero_power_passive,accuracy,,0
hero_power_passive,defense,,0
artifact_equipped,slot0,name,
artifact_equipped,slot0,stars,0
artifact_equipped,slot1,name,
artifact_equipped,slot1,stars,0
artifact_equipped,slot2,name,
artifact_equipped,slot2,stars,0
artifact_inventory,hexagon_necklace,stars,0
artifact_inventory,hexagon_necklace,potentials,"[{'stat': '', 'value': 0, 'tier': 'legendary'}, {'stat': '', 'value': 0, 'tier': 'legendary'}, {'stat': '', 'value': 0, 'tier': 'legendary'}]"
artifact_inventory,book_of_ancient,stars,0
artifact_inventory,book_of_ancient,potentials,[]
artifact_inventory,chalice,stars,0
artifact_inventory,chalice,potentials,[]
artifact_inventory,star_rock,stars,0
artifact_inventory,star_rock,potentials,[]
artifact_inventory,sayrams_necklace,stars,0
artifact_inventory,sayrams_necklace,potentials,[]
artifact_inventory,lit_lamp,stars,0
artifact_inventory,lit_lamp,potentials,[]
artifact_inventory,soul_contract,stars,0
artifact_inventory,soul_contract,potentials,[]
artifact_inventory,ancient_text_piece,stars,0
artifact_inventory,ancient_text_piece,potentials,[]
artifact_inventory,clear_spring_water,stars,0
artifact_inventory,clear_spring_water,potentials,[]
artifact_inventory,fire_flower,stars,0
artifact_inventory,fire_flower,potentials,[]
artifact_inventory,icy_soul_rock,stars,0
artifact_inventory,icy_soul_rock,potentials,[]
artifact_inventory,silver_pendant,stars,0
artifact_inventory,silver_pendant,potentials,[]
artifact_inventory,rainbow_snail_shell,stars,0
artifact_inventory,rainbow_snail_shell,potentials,[]
artifact_inventory,mushmom_cap,stars,0
artifact_inventory,mushmom_cap,potentials,[]
artifact_resonance,total_stars,,0
artifact_resonance,main_stat_bonus,,0
artifact_resonance,hp_bonus,,0
companion_equipped,slot0,name,
companion_equipped,slot0,level,1
companion_equipped,slot1,name,
companion_equipped,slot1,level,1
companion_equipped,slot2,name,
companion_equipped,slot2,level,1
companion_equipped,slot3,name,
companion_equipped,slot3,level,1
companion_equipped,slot4,name,
companion_equipped,slot4,level,1
companion_equipped,slot5,name,
companion_equipped,slot5,level,1
companion_equipped,slot6,name,
companion_equipped,slot6,level,1
maple_rank,current_stage,,1
maple_rank,main_stat_level,,0
maple_rank,special_main_stat,,0
equipment_sets,medal,,840
equipment_sets,costume,,1500
